P2_1_B,lemma
"54	""Se debe mejorar el sistema de salud para beneficio de todos.",sistema salud beneficio
"No debe ocurrir que los que tengan más ingresos económicos puedan acceder a un mejor sistema de salud, y las personas de escasos recursos o pobre no puedan obtener una salud de calidad. """,ingreso económico mejor sistema salud persona escaso recurso pobre salud calidad
"55	""- no deberian las personas asumir las perdidas",persona perdido
"- las personas podrian poder retirar parte de su dinero """,persona parte dinero
2)-Asegurar el trabajo,trabajo
-Condiciones laborales mejores,condiciones laboral mejor
"57	los participantes señalan que las políticas publicas muchas veces no se adaptan a la realidad regional y no reflejan donde se deben orientar los esfuerzos para mejorar la situación actual en este caso del mundo deporte, por ejemplo no existe ninguna ayuda formal a los deportes outdoor.",participante política publico vez realidad regional esfuerzo situación actual caso mundo deporte ejemplo ayuda formal deporte outdoor
58	es lo mas importante rehacer el sistema publico de atención hoy es un desastre y los tiempos de espera son indignos,importante sistema público atención desastre tiempo espera indigno
59	todo producto o servicios suben de valor y cada vez cuesta más llegar a fin de mes con el sueldo mínimo.,producto servicio valor vez fin mes sueldo mínimo
"60	hoy necesitamos mejorar educación (becas), pero en salud el sistema es más precario y/o desigual, entendiendo que hay listas de espera y la salud pública es más precaria que la privada.",educación beca salud sistema precario desigual lista espera salud público precario privado
"61	""- larga espera en la salud publica.",largo salud
"- falta de recintos hospitalarios que se encuentren totalmente equipados""",falta recinto hospitalario equipado
"62	*Lamentablemente el sistema judicial no juzga a todos por igual. en familias de clase alta todo ocurre por caso fortuito, versus, las de escasos recursos donde todo ocurre por culpa de ellos.",sistema judicial igual
"63	que vuelva el estado a administrar el agua del país garantizando este derecho basico para la ciudadanía, no mas privatización.",estado agua país derecho basico ciudadanía privatización
64	Con un real cambio en la educación desde la preescolar se solucionaran en el país las problemáticas y se podrá enfrentar la automatización de la mejor manera.,real cambio educación preescolar país problemático automatización mejor manera
"65	""-porque el foco en la persona, en municipios, valores, tener mas oportunidades.",foco persona municipio valor oportunidad
"pilar fundamental , ser mejor persona.""",fundamental mejor persona
"66	""la salud en el pais no es garante de nada",país garante
"se necesitan profesionales que esten dispuesto a trabajar en la salud publica y sean comprometidos """,profesional dispuesto salud
"67	""-porque la afp no los nuestra plata",plata
-hay desigualdad en la riqueza,desigualdad riqueza
-mala información en las afp,malo información afp
"68	""-ambulancia a tiempo",tiempo
-mas procecionales en consultorios y hospitales,procecional consultorio hospital
-mas horas disponibles,hora disponible
"-medicamentos a dispocicion de la demanda""",medicamento dispocicion demanda
"69	Hospital colapsado, tiempo de espera larguísimo  , falta de profesionales y especialistas, abastecimiento bajo de remedios",hospital colapsado tiempo espera larguísimo falta profesional especialista abastecimiento bajo remedio
"70	falta de acceso a la salud publica que la comuna falta de profesionales, poco abastecimiento de remedios.",falta acceso salud comuna profesional abastecimiento remedio
"71	el estado saca de la pobreza a la gente, los acompaña hasta la clase media y ahí los deja abandonados",estado sacar pobreza gente clase medio abandonado
"72	hay muy pocos médicos especialistas, pocos insumos y medicamentos. también tardan mucho en las horas medicas.",médico especialista insumo medicamento
"73	- es una necesidad que los medicamentos se encuentren en el servicio de salud, algunos no estan disponibles (autismo, artrosis,etc)",necesidad medicamento servicio salud disponible autismo artrosis
74	mejorar la salud en todo aspecto en atencion e infraestructura que sea de calidad y garantizar,salud aspecto atención infraestructura calidad
"75	los participantes, en este punto, están divididos ya que algunos mencionan que parte del problema de la educación también es culpa de las mismas familias que deben dar atención a sus hijos e inculcarle valores a los niños de hoy ya que los que no tienen buena educación de sus familias son niños a lo",participante punto dividido problema educación culpa familia atención hijo valor niño buen educación familia niño
"76	-todo el ciclo vital. no mas listas de esperas. que se apoye a los recién egresados, que quedan abandonados y se van al área privada. faltan especialistas y cupos para atención a cirujía. mayor rapidez en derivación de interconsulta.",ciclo vital
"77	""Todos pertenecemos al sistema publico de salud.",sistema público salud
Aunque hemos tenido distinta suerte en una nos ha servido,distinto suerte
"- se debe mejorar en cuanto se pueda.""",cuanto poder
"78	""- sistema de pensiones es injusto, se quedan con las ganancias y nosotros perdemos nuestra plata, nuestro trabajo.",sistema pensión injusto ganancia plata trabajo
"- """"con el monto que nos jubilamos los que hemos trabajado toda la vida, es igual a quien recibe una pensión solidaria, entonces no trabajo""""""",monto vida igual pensión solidario
"79	""""""sobre la salud pesa toda nuestra vida en todo momento, con una buena salud, un buen sistema no deja morir a su gente por negligencia"""".""",pesar vida momento buen salud buen sistema gente negligencia
"80	""somos el país mas caro en educación, no tenemos como surgir por nuestros alcances y metas cumplidos.",país caro educación alcance meta cumplido
"no mas créditos, chile tiene presupuesto""",crédito presupuesto
"81	""que sea para todos, que lleguen especialidades a lugares lejanos.",especialidad lugar lejano
"que haya presupuesto para todos los enferme.""",enfer
"82	faltan viviendas en nuestro país , sobre todo en las ciudades pequeñas, es difícil por que hay mas personas de escasos recursos",vivienda país ciudad pequeño difícil persona escaso recurso
"83	""-largas filas de espera.",largo fila espera
-mas especialistas para las provincias.,especialista provincia
"-faltan insumos e ... algunas respuestas con mala letra """,insumo respuesta malo letra
"84	""listas de espera.",lista espera
no  hay especialidades para las provincias.,especialidad provincia
"falta de insumos y         en todas las especialidades.""",falta insumo especialidad
"85	""falta de especialistas, hay que trasladar a la gente a otras regiones.",falta especialista gente región
"se necesitan casas de acogida. """,casa acogida
"86	""se debe mejorar el sistema de pensiones",sistema pensión
"se trabaja toda la vida y al jubilar se recibe con pensión miserable.""",vida jubilar pensión miserable
87	el sistema de pensiones necesita un cambio/reforma que le permita a los chilenos acceder a pensiones dignas.,sistema pensión chileno pensión digno
"88	""es injusto trabajar una vida entera para recibir una pension bajisima",injusto vida entero pensión bajisimo
"-el estado debe asegurar pensiones dignas""",estado deber pensión digno
"89	los salarios (sueldo mínimo) debe subir, ya que en general no es suficiente para solventar los gastos de un hogar.",salario sueldo mínimo general suficiente gasto hogar
"90	""deben haber personas dignas para mismos adultos mayores, que son los que sufren las consecuencias del actual sistema de pensiones",persona digno adulto mayor consecuencia actual sistema pensión
"-debe haber una reforma profunda.""",reforma profundo
91	el principal problema es mejorar la salud para que las personas no tengan que levantarse a las 6 de la mañana a pedir horas.,principal problema salud persona mañana hora
"92	""- en la salud hayan más especialistas en los hospitales (ej hospital de calbuco)",salud especialista hospital hospital calbuco
"- lista de espera, no esperar",lista espera
"- valorar el de pensiones""",pensión
"93	luego de haber trabajado toda una vida, el cuerpo alcanza límites con los que no se puede jugar. el hecho de hacer o tener menos movimiento implica tener gastos muy por el contrario.",vida cuerpo límite
"94	""-hacer mas tranques.",tranque
-proteger mas el agua.,agua
-fiscalizar mas los repartos del agua.,reparto agua
"-mayor acceso al agua.""",mayor acceso agua
95	largas horas pedir número para atención. aumentar la variedad de remedios en las farmacias comunales. mucha diferencia de precio en remedios. abastecimientos de remedios en salud pública.,largo hora número atención
"96	cobertura de auge, mas amplia extensión de edad. hasta de espera extensos por tratamiento de operación. atención mala calidad. El turno de los médicos gana mala atención",cobertura auge amplio extensión edad
"97	""-acceso a la educación superior.",acceso educación superior
"-mejorar la calidad de la educación, entregar opciones para jóvenes en verano.""",calidad educación opción joven verano
"98	el reconocimiento esta pendiente por años, no vemos voluntad en que esto sea efectivo. si reconocen muchos  chilenos votaremos rechazo.",reconocimiento pendiente año voluntad efectivo
"99	medicamentos muy caros, tiempos de espera de atención excesivos.                                         falla de insumos, mala atención de los profesionales . falta de medicos, los consultorios no dan abasto. mala cobertura, falta de especialistas y no hay continuidad en los tratamientos",medicamento caro tiempo espera atención excesivo
100	actualmente no se considera que en terminos de especialidad no se puede mover a una persona a cualquier area de desempeño.,termino especialidad persona área desempeño
"101	falta una buena planificación ministerial y supervisión a los establecimientos educacionales (jardines, colegios, liceos, ues, cft, ip)",buen planificación ministerial supervisión establecimiento educacional jardín colegio liceo ues cft
102	Mayor seguridad y más policías en las calles y mayor resguardo a estos mismos ya que no saben si volverán sanos a sus hogares,mayor seguridad policía calle mayor resguardo sano hogar
"103	""-que sea más ediciente, proyección de jubilación sea para 90 años.",ediciente proyección jubilación año
-eliminar el lucro,lucro
"-que la pensión sea más representativa respecto al ingreso que tuvo la persona""",pensión representativo respecto ingreso persona
"104	se demoran mucho en entregar subsidios o casas por comité, y con esto siguen muchas personas viviendo en una casa.",subsidio casa comité persona casa
-agendar mas horas para adulto mayor,hora adulto mayor
-eliminar lista de espera,lista espera
"-atención gratuita y de calidad adulto mayor """,atención gratuito calidad adulto mayor
"106	""mejorar la calidad de atención.",calidad atención
aumentar la cobertura en areas rurales .,cobertura area rural
mejorar la atención con los adultos mayores.,atención adulto mayor
"gratuidad para adultos mayores """,gratuidad adulto mayor
"107	mejor sistema, que no haya que ir a las 05 am porque hay riesgos de asaltos, disminuir los tiempos de espera (horas y operaciones), más médicos.",mejor sistema they riesgo asalto tiempo espera hora operación médico
"108	""Las esperas son muy largas y a veces uno muere esperando horas",espera largo vez hora
"Falta vocación, salud publica digna.""",vocación salud digno
"109	""atención deficiente en los centros de asistencia",atención deficiente centro asistencia
acceso a los medicamentos,acceso medicamento
falta de especialistas,falta especialista
"listas de espera""",lista espera
"110	la educación debe ser gratis para todos, con oportunidades equitativas. se debe eliminar los colegios particulares subvencionados y cambiar la malla curricular.",educación deber oportunidad equitativo
"111	se requiere un aumento en las pensiones para los jubilados actuales; y un cambio en el sistema de pensiones afp,",aumento pensión jubilado actual cambio sistema pensión
"112	""el mal trato y las largas horas de espera en la atención  en el sistema de salud publico",mal trato largo hora espera atención sistema salud público
"-la falta de especialistas """,falta especialista
"113	""-falta de especialistas",falta especialista
-acceder a la opcion de medicamenetos mas baratos,opción medicameneto barato
"-atencion mas expedita en las urgencias de hospitales""",atención expedito urgencia hospital
"114	""- mejorar sueldo minimo",sueldo mínimo
-mejorar sueldo la gente vive mejor,sueldo gente
"-falta potenciar sindicatos para tener mayor fuerza laboral""",sindicato mayor fuerza laboral
"115	""mejorar el sueldo mínimo",sueldo mínimo
entre mejores sueldos la gente vive mejor,mejor sueldo gente
falta potenciar sindicato para tener mayor fuerza laboral,sindicato mayor fuerza laboral
"116	la mayoría está de acuerdo con el estallido social,pero señalan que respeto mutuo entre la comunidad y las fuerzas armadas ya no existe",mayoría acuerdo estallido social mutuo comunidad armado
"117	es necesario que la gente se organice, de tal  forma, que pueda levantar demandas en conjunto.",necesario gente tal forma demanda conjunto
118	es lo principal por eso debe mejorarse y ser de calidad por que sin buena salud no hacemos nada,principal deber calidad buen salud
"119	""los métodos que miden el acceso a ellos.",método acceso
"escuelas de calidad, que no solo prepare a hijos obreros.""",escuela calidad hijo
"120	""mejorar el sistema de pensiones.",sistema pensión
debería ser un sistema igualitario como el sistema de los uniformados.,sistema igualitario sistema uniformado
un sistema más justo.,sistema justo
"se modifique el sistema o se elimine. """,sistema
121	hay mucha gente sin empleo a raiz de los manifestaciones que han partido sus puestos de trabajo y que hoy se encuentran manos atadas,gente empleo manifestación puesto trabajo mano
"122	""se debe esperar mucho tiempo para ser atendido por un especialista",tiempo especialista
"la atención medica es nefasta en el sistema público no dan soluciones o remedios, solo calmantes momentáneos que no solucionan el problema de fondo y obliga a seguir acudiendo al sistema público.""",atención medico nefasto sistema público solución remedio calmante momentáneo problema fondo sistema público
123	todos los participantes indican que es urgente poder retomar el orden pública para poder desde la seguridad avanzar en los problemas del país,participante urgente orden público poder seguridad problema país
"124	los dineros de las ancas de las afp, no las devuelven, debieran actuar para satisfacer necesidades de salud, ocio y recreación, educación y otras",dinero necesidad salud ocio recreación educación
"125	""hace falta dialogar mas con los directivos",falta directivo
"el sistema de selección es el que escoge por uno,no somos libres de elegir en que colegio matriculamos a nuestros hijos""",sistema selección libre colegio matricular hijo
"126	mejorar pensiones de adulto mayor, eliminar las afp o modificar por un sistema que permita que nuestros abuelos tengan una vida digna.",pensión adulto mayor sistema abuelo vida digno
"127	no hay equidad, afectando mayormente a los adultos mayores. la casta gobernante está mal elegida. crear justicia y aplicar la ley por igual a quien corresponda.",equidad mayormente adulto mayor
"128	""- este problema aqueja a todos los hogares del país, exepto a la clase rica",problema hogar país exepto clase rico
"- solo que la clase media puede, pero debe endeudarse""",clase poder
"129	se necesita modernizar el sistema de educación, para que éste sea integral, no solo enfocado entregar datos; que sea abierto a la innovación y oportuno.",sistema educación ser integral dato innovación oportuno
130	la salud es una de los mayores factores que influyen en la calidad de vida. potenciar esta área en todas sus dimensiones es esencial y urgente,salud mayor factor calidad vida
"131	""Porque es mala la salud en Tocopilla, uno se muere esperando.",malo tocopilla
"No hay especialistas, mandan a los pacientes a Antofagasta y se mueren en el viaje.",especialista paciente antofagasta viaje
"Estuve esperando 8 años una operación, finalmente tuve que hacerlo por FONASA y sigo pagando""",año uno operación fonasa
"132	""- el sistema de salud público es muy malo comparado con el sistema privado",sistema salud público malo comparado sistema privado
- se debe reestructurar el sistema de salud,sistema salud
"- las horas de espera son muy largas""",hora espera largo
"133	que los directores de los hospitales, consultorios sean idoneos y con una real vocacion de servicio y que estos cargos no sean ocupados politicamente",director hospital consultorio idoneo real servicio cargo politicamente
"134	""sistema único, igualitarios para todos.",sistema único igualitario
que no existan horas de espera.,hora espera
"medicamentos más económicos.""",medicamento económico
135	es la base para hacer otras cosas. todo parte por la educación. hay negligencia en muchos aspectos.,base cosa
"136	""calidad y falta de profesionales",calidad falta profesional
desigualdad en la entrega de educación.,desigualdad entrega educación
eliminar la segregación.,segregación
"no asociar lo particular a calidad en la educación.""",particular calidad educación
137	-ya que el endeudamiento de la clase media es mucho y mas encima despues los castigan cuando salen de sus - sin poder optar a beneficios sociales.,endeudamiento clase medio beneficio social
"138	-que sea más rapido  terminen    las listas de espera, no que sea gratis, pero si agilizar",rapido lista espera
"139	lo único que queremos es que se mejoren los servicios públicos, porque ningún médico quiere trabajar ahí.",único servicio público médico
140	- tener una vejez digna                 - trabajar después de los 70 por placer y no deber                            - dineros mal administrados,vejez digno placer dinero administrado
141	el tema más crítico. preocupación porque ante la muerte de una persona no se recupera el dinero.,tema crítico
"142	""el endeudamiento para la educación de los hijos.",endeudamiento educación hijo
igualdad de condiciones.,igualdad condición
"muy cara y poco accesible.""",cara accesible
"143	""-seguridad interior del estado.",seguridad interior estado
-cambios en el código penal.,cambio código
-tener jueces más justos y no politizados.,juez justo politizado
"-mejorar la preparación de carabineros.""",preparación carabinero
"144	""-Porque no se respeta la igualdad de salud personal (GES -AUGE) para adultos mayores y discapacitados.",igualdad salud personal ges adulto mayor discapacitado
"-Atención publica gratuita.""",atención gratuito
"145	""en especifico la sección 22 a.",especifico sección
"ley de inclusión solo ofrece el 1% del trabajo para las personas.""",ley inclusión trabajo persona
"146	""pensiones muy bajas que no permiten cubrir las necesidades básicas.",pensión baja necesidad básico
"el fondo de pensiones no debería soportar las perdidas de las afp""",fondo pensión perdida afp
"147	""-los adultos mayores tiene pensiones indignas",mayor pensión indigno
"-la gente gasta mucho en medicamentos y las pensiones no alcanzan""",gente medicamento pensión
"148	el hospital no cuenta con todos los implementos , es por esto que muchas veces somos derivados a un hospital en una ciudad más grande y que cuente con todos los implementos necesarios, se debe mejorar la implementación de los hospitales ya existentes.",hospital implemento vez hospital ciudad grande implemento necesario implementación hospital existente
"149	""-educación tradicional está obsoleta para nuevas necesidades",educación tradicional obsoleto nuevo necesidad
"-existe sobrecarga académica (muchos ramos y horas en colegio)""",sobrecarga académico ramo hora colegio
"150	""- el río aconcagua tiene una crisis hídrica histórica en el peor de los escenarios.",río aconcaguo crisis hídrico histórico peor escenario
"- hay una gestión que no se está realizando, los agricultores son los culpables, el estado quien regula la situación del agua""",gestión agricultor culpable estado situación agua
"151	- listas de espera                           - mejorar pensiones de invalidez                                                      - enfermedades no están en el auge                                        - atención integral para el cáncer (psicológica, kinesiólogos)",lista espera pensión invalidez enfermedad auge atención integral cáncer psicológico
"152	""-especialistas en hospitales",especialista hospital
-camas en hospitales,cama hospital
-que las horas sean más rápidas,hora rápido
-mejor atención en adultos mayores,mejor atención adulto mayor
"-que hayan más recursos en las corporaciones""",recurso corporación
"153	""deberia ser un aporte al socio de la afp.",socio afp
las personas lo deben aumentar.,persona
los intereses de sus ingresos.,interés ingreso
"debe unirse mas intitucion para ---- de las afp.""",intitución afp
"154	""-""""mas de dos años esperando hora medica de operación""""",año hora medico operación
"-""""cinco años esperando para operarse varices""""",año variz
"-""""- más de 3 años esperando""""",año
"-""""la posta atiende solo a 20 pacientes y al resto no lo atendieron""""",posta paciente resto
-tanto que se demora en atender los medicos,medico
"-lega a las 7 de la mañana y est""",mañana est
"155	""-se refieren a que la educación debe mejorar para todos los sectores económicos, debe ser de calidad.",educación sector económico calidad
"-porque hoy la educación es un derecho, pero no garantiza calidad.""",educación derecho calidad
"156	según las experiencias los participantes que hacen uso del sistema de salud público, existe un consenso en cuanto a la agilidad y buen servicio de la atención primaria, sin embargo, no es posible decir lo mismo respecto de aquellas enfermedades de mayor complejidad, ya que el sistema no logra cubrir",experiencia participante uso sistema salud público consenso cuanto agilidad buen servicio atención primario embargo posible mismo respecto enfermedad mayor complejidad sistema
"157	es primordial mejorar el sistema de salud, ya que las personas muchas veces ven pasar el tiempo sin horas ni atenciones, llegando incluso a morir esperando",primordial sistema salud persona vez tiempo hora atención
"·las proximas generaciones van a obtener los beneficios, con educación todo mejora.",proximo generación beneficio educación
"·los profesores no son valorados, deficit.",profesor deficit
"·trascendental para superar el subdesarrollo""",trascendental subdesarrollo
"159	""- mejores sueldos, siendo el mínimo de 500 mil pesos en relación al costo de la vida.",mejor sueldo mínimo peso relación costo
"- fiscalización del lucro y actuar del sistema.""",fiscalización lucro sistema
"160	se debe tener claro que es un problema que abarca a todos los trabajadores siendo un tema transversal, ya que no todos han tenido las mismas posibilidades.",claro problema trabajador tema transversal posibilidad
161	la region de aysén se encuentra encuentra en menos mal respecto de conectividad terrestre y digital.,región aysén mal respecto conectividad terrestre digital
"162	""Por el tiempo de atención de especialistas o procedimientos.",tiempo atención especialista procedimiento
No hay medicamentos suficientes,medicamento suficiente
"Mejorar el trato de atención. """,trato atención
"163	""-en general los adultos mayores tienen pensiones bajas, que no les permite cubrir las necesidades basicas",general adulto mayor pensión baja necesidad basico
"-hay diferencias entre las pensiones de los civiles y las ff.aa.""",diferencia pensión civil ffaa
"164	el estado y los privados deben generar más fuentes laborales, sueldos dignos y más protección para los trabajadores.",estado privado deber fuente laboral sueldo digno protección trabajador
"165	que sean más equitativas, sueldos regionalizados, porque en esta región la vida es más cara. cada región tiene necesidades distintas.",equitativo sueldo regionalizado región vida cara
"166	hay poca educación alimenticia, agilizar la atención en el sector público, mejorar condiciones laborales de profesionales de la salud para que mejore su servicio.",educación alimenticia atención sector público condición laboral profesional salud servicio
"167	""- entrega oportuna y directa a los pacientes o enfermos",entrega oportuno directo paciente enfermo
- mayo mano de especialistas,mayo mano especialista
"- mas acceso a examenes y medicamentos""",acceso examen medicamento
168	que los políticos de una vez por todas hagan caso a las remandas y no sé.,político vez caso
