	P2_1_B
53	debe existir la necesidad de cambiar de un modo inteligente, para que se den las mismas oportunidades para todos . • en definitiva, deben existir las mismas oportunidades en educación, salud, pensiones, trabajo -legislación laboral-, cultura, entre otras.
54	"Se debe mejorar el sistema de salud para beneficio de todos.
No debe ocurrir que los que tengan más ingresos económicos puedan acceder a un mejor sistema de salud, y las personas de escasos recursos o pobre no puedan obtener una salud de calidad. "
55	"- no deberian las personas asumir las perdidas 
- las personas podrian poder retirar parte de su dinero "
56	"1) Las personas / empresas entienden que es un conjunto y debemos trabajar por ello.
2)-Asegurar el trabajo
   -Condiciones laborales mejores
"
57	los participantes señalan que las políticas publicas muchas veces no se adaptan a la realidad regional y no reflejan donde se deben orientar los esfuerzos para mejorar la situación actual en este caso del mundo deporte, por ejemplo no existe ninguna ayuda formal a los deportes outdoor.
58	es lo mas importante rehacer el sistema publico de atención hoy es un desastre y los tiempos de espera son indignos 
59	todo producto o servicios suben de valor y cada vez cuesta más llegar a fin de mes con el sueldo mínimo.
60	hoy necesitamos mejorar educación (becas), pero en salud el sistema es más precario y/o desigual, entendiendo que hay listas de espera y la salud pública es más precaria que la privada.
61	"- larga espera en la salud publica.
- falta de recintos hospitalarios que se encuentren totalmente equipados"
62	*Lamentablemente el sistema judicial no juzga a todos por igual. en familias de clase alta todo ocurre por caso fortuito, versus, las de escasos recursos donde todo ocurre por culpa de ellos.
63	que vuelva el estado a administrar el agua del país garantizando este derecho basico para la ciudadanía, no mas privatización.
64	Con un real cambio en la educación desde la preescolar se solucionaran en el país las problemáticas y se podrá enfrentar la automatización de la mejor manera.
65	"-porque el foco en la persona, en municipios, valores, tener mas oportunidades. 
pilar fundamental , ser mejor persona."
66	"la salud en el pais no es garante de nada
se necesitan profesionales que esten dispuesto a trabajar en la salud publica y sean comprometidos "
67	"-porque la afp no los nuestra plata
-hay desigualdad en la riqueza
-mala información en las afp
-pensiones insuficientes"
68	"-ambulancia a tiempo
-mas procecionales en consultorios y hospitales
-mas horas disponibles
-atencion rapida
-medicamentos a dispocicion de la demanda"
69	Hospital colapsado, tiempo de espera larguísimo  , falta de profesionales y especialistas, abastecimiento bajo de remedios
70	falta de acceso a la salud publica que la comuna falta de profesionales, poco abastecimiento de remedios.
71	el estado saca de la pobreza a la gente, los acompaña hasta la clase media y ahí los deja abandonados
72	hay muy pocos médicos especialistas, pocos insumos y medicamentos. también tardan mucho en las horas medicas.
73	- es una necesidad que los medicamentos se encuentren en el servicio de salud, algunos no estan disponibles (autismo, artrosis,etc)
74	mejorar la salud en todo aspecto en atencion e infraestructura que sea de calidad y garantizar
75	los participantes, en este punto, están divididos ya que algunos mencionan que parte del problema de la educación también es culpa de las mismas familias que deben dar atención a sus hijos e inculcarle valores a los niños de hoy ya que los que no tienen buena educación de sus familias son niños a lo
76	-todo el ciclo vital. no mas listas de esperas. que se apoye a los recién egresados, que quedan abandonados y se van al área privada. faltan especialistas y cupos para atención a cirujía. mayor rapidez en derivación de interconsulta.
77	"Todos pertenecemos al sistema publico de salud.
Aunque hemos tenido distinta suerte en una nos ha servido 
- se debe mejorar en cuanto se pueda."
78	"- sistema de pensiones es injusto, se quedan con las ganancias y nosotros perdemos nuestra plata, nuestro trabajo.
- ""con el monto que nos jubilamos los que hemos trabajado toda la vida, es igual a quien recibe una pensión solidaria, entonces no trabajo"""
79	"""sobre la salud pesa toda nuestra vida en todo momento, con una buena salud, un buen sistema no deja morir a su gente por negligencia""."
80	"somos el país mas caro en educación, no tenemos como surgir por nuestros alcances y metas cumplidos.
no mas créditos, chile tiene presupuesto"
81	"que sea para todos, que lleguen especialidades a lugares lejanos.
que haya presupuesto para todos los enferme."
82	faltan viviendas en nuestro país , sobre todo en las ciudades pequeñas, es difícil por que hay mas personas de escasos recursos 
83	"-largas filas de espera.
-mas especialistas para las provincias. 
-faltan insumos e ... algunas respuestas con mala letra "
84	"listas de espera.
no  hay especialidades para las provincias.
falta de insumos y         en todas las especialidades."
85	"falta de especialistas, hay que trasladar a la gente a otras regiones. 
se necesitan casas de acogida. "
86	"se debe mejorar el sistema de pensiones
se trabaja toda la vida y al jubilar se recibe con pensión miserable."
87	el sistema de pensiones necesita un cambio/reforma que le permita a los chilenos acceder a pensiones dignas.
88	"es injusto trabajar una vida entera para recibir una pension bajisima
-el estado debe asegurar pensiones dignas"
89	los salarios (sueldo mínimo) debe subir, ya que en general no es suficiente para solventar los gastos de un hogar. 
90	"deben haber personas dignas para mismos adultos mayores, que son los que sufren las consecuencias del actual sistema de pensiones
-debe haber una reforma profunda."
91	el principal problema es mejorar la salud para que las personas no tengan que levantarse a las 6 de la mañana a pedir horas.
92	"- en la salud hayan más especialistas en los hospitales (ej hospital de calbuco)
- lista de espera, no esperar
- valorar el de pensiones"
93	luego de haber trabajado toda una vida, el cuerpo alcanza límites con los que no se puede jugar. el hecho de hacer o tener menos movimiento implica tener gastos muy por el contrario.
94	"-hacer mas tranques.
-proteger mas el agua.
-fiscalizar mas los repartos del agua.
-mayor acceso al agua."
95	largas horas pedir número para atención. aumentar la variedad de remedios en las farmacias comunales. mucha diferencia de precio en remedios. abastecimientos de remedios en salud pública. 
96	cobertura de auge, mas amplia extensión de edad. hasta de espera extensos por tratamiento de operación. atención mala calidad. El turno de los médicos gana mala atención 
97	"-acceso a la educación superior.
-mejorar la calidad de la educación, entregar opciones para jóvenes en verano."
98	el reconocimiento esta pendiente por años, no vemos voluntad en que esto sea efectivo. si reconocen muchos  chilenos votaremos rechazo.
99	medicamentos muy caros, tiempos de espera de atención excesivos.                                         falla de insumos, mala atención de los profesionales . falta de medicos, los consultorios no dan abasto. mala cobertura, falta de especialistas y no hay continuidad en los tratamientos
100	actualmente no se considera que en terminos de especialidad no se puede mover a una persona a cualquier area de desempeño.
101	falta una buena planificación ministerial y supervisión a los establecimientos educacionales (jardines, colegios, liceos, ues, cft, ip)
102	Mayor seguridad y más policías en las calles y mayor resguardo a estos mismos ya que no saben si volverán sanos a sus hogares
103	"-que sea más ediciente, proyección de jubilación sea para 90 años.
-eliminar el lucro
-que la pensión sea más representativa respecto al ingreso que tuvo la persona"
104	se demoran mucho en entregar subsidios o casas por comité, y con esto siguen muchas personas viviendo en una casa.
105	"-falta especialidades
-mejorar atencion
-agendar mas horas para adulto mayor 
-falta medicamento
-eliminar lista de espera
-atención gratuita y de calidad adulto mayor "
106	"mejorar la calidad de atención.
mas especialistas.
aumentar la cobertura en areas rurales .
hospital freirina.
mejorar la atención con los adultos mayores.
gratuidad para adultos mayores "
107	mejor sistema, que no haya que ir a las 05 am porque hay riesgos de asaltos, disminuir los tiempos de espera (horas y operaciones), más médicos. 
108	"Las esperas son muy largas y a veces uno muere esperando horas
discriminación. uno tiene que ir con arapos para que lo atiendan bien.
Falta vocación, salud publica digna."
109	"atención deficiente en los centros de asistencia
acceso a los medicamentos
falta de especialistas
listas de espera"
110	la educación debe ser gratis para todos, con oportunidades equitativas. se debe eliminar los colegios particulares subvencionados y cambiar la malla curricular.
111	se requiere un aumento en las pensiones para los jubilados actuales; y un cambio en el sistema de pensiones afp,
112	"el mal trato y las largas horas de espera en la atención  en el sistema de salud publico
-la falta de especialistas "
113	"-falta de especialistas
-acceder a la opcion de medicamenetos mas baratos
-atencion mas expedita en las urgencias de hospitales"
114	"- mejorar sueldo minimo
-mejorar sueldo la gente vive mejor
-500.000 minimo
-falta potenciar sindicatos para tener mayor fuerza laboral"
115	"mejorar el sueldo mínimo
entre mejores sueldos la gente vive mejor
500.000 mínimo
falta potenciar sindicato para tener mayor fuerza laboral
"
116	la mayoría está de acuerdo con el estallido social,pero señalan que respeto mutuo entre la comunidad y las fuerzas armadas ya no existe
117	es necesario que la gente se organice, de tal  forma, que pueda levantar demandas en conjunto.
118	es lo principal por eso debe mejorarse y ser de calidad por que sin buena salud no hacemos nada 
119	"los métodos que miden el acceso a ellos.
escuelas de calidad, que no solo prepare a hijos obreros."
120	"mejorar el sistema de pensiones.
debería ser un sistema igualitario como el sistema de los uniformados.
un sistema más justo.
se modifique el sistema o se elimine. "
121	hay mucha gente sin empleo a raiz de los manifestaciones que han partido sus puestos de trabajo y que hoy se encuentran manos atadas
122	"se debe esperar mucho tiempo para ser atendido por un especialista 
la atención medica es nefasta en el sistema público no dan soluciones o remedios, solo calmantes momentáneos que no solucionan el problema de fondo y obliga a seguir acudiendo al sistema público."
123	todos los participantes indican que es urgente poder retomar el orden pública para poder desde la seguridad avanzar en los problemas del país
124	los dineros de las ancas de las afp, no las devuelven, debieran actuar para satisfacer necesidades de salud, ocio y recreación, educación y otras 
125	"hace falta dialogar mas con los directivos
el sistema de selección es el que escoge por uno,no somos libres de elegir en que colegio matriculamos a nuestros hijos"
126	mejorar pensiones de adulto mayor, eliminar las afp o modificar por un sistema que permita que nuestros abuelos tengan una vida digna. 
127	no hay equidad, afectando mayormente a los adultos mayores. la casta gobernante está mal elegida. crear justicia y aplicar la ley por igual a quien corresponda.
128	"- este problema aqueja a todos los hogares del país, exepto a la clase rica
- solo que la clase media puede, pero debe endeudarse"
129	se necesita modernizar el sistema de educación, para que éste sea integral, no solo enfocado entregar datos; que sea abierto a la innovación y oportuno. 
130	la salud es una de los mayores factores que influyen en la calidad de vida. potenciar esta área en todas sus dimensiones es esencial y urgente
131	"Porque es mala la salud en Tocopilla, uno se muere esperando.
No hay especialistas, mandan a los pacientes a Antofagasta y se mueren en el viaje. 
Estuve esperando 8 años una operación, finalmente tuve que hacerlo por FONASA y sigo pagando"
132	"- el sistema de salud público es muy malo comparado con el sistema privado
- se debe reestructurar el sistema de salud
- las horas de espera son muy largas"
133	que los directores de los hospitales, consultorios sean idoneos y con una real vocacion de servicio y que estos cargos no sean ocupados politicamente
134	"sistema único, igualitarios para todos.
que no existan horas de espera.
salud gratuita
medicamentos más económicos."
135	es la base para hacer otras cosas. todo parte por la educación. hay negligencia en muchos aspectos.
136	"calidad y falta de profesionales
desigualdad en la entrega de educación.
eliminar la segregación.
no asociar lo particular a calidad en la educación."
137	-ya que el endeudamiento de la clase media es mucho y mas encima despues los castigan cuando salen de sus - sin poder optar a beneficios sociales.
138	-que sea más rapido  terminen    las listas de espera, no que sea gratis, pero si agilizar
139	lo único que queremos es que se mejoren los servicios públicos, porque ningún médico quiere trabajar ahí.
140	- tener una vejez digna                 - trabajar después de los 70 por placer y no deber                            - dineros mal administrados 
141	el tema más crítico. preocupación porque ante la muerte de una persona no se recupera el dinero.
142	"el endeudamiento para la educación de los hijos.
igualdad de condiciones.
muy cara y poco accesible."
143	"-seguridad interior del estado.
-cambios en el código penal.
-tener jueces más justos y no politizados.
-mejorar la preparación de carabineros."
144	"-Porque no se respeta la igualdad de salud personal (GES -AUGE) para adultos mayores y discapacitados.
-Atención publica gratuita."
145	"en especifico la sección 22 a.
ley de inclusión solo ofrece el 1% del trabajo para las personas."
146	"pensiones muy bajas que no permiten cubrir las necesidades básicas.
el fondo de pensiones no debería soportar las perdidas de las afp"
147	"-los adultos mayores tiene pensiones indignas
-la gente gasta mucho en medicamentos y las pensiones no alcanzan"
148	el hospital no cuenta con todos los implementos , es por esto que muchas veces somos derivados a un hospital en una ciudad más grande y que cuente con todos los implementos necesarios, se debe mejorar la implementación de los hospitales ya existentes.
149	"-educación tradicional está obsoleta para nuevas necesidades
-existe sobrecarga académica (muchos ramos y horas en colegio)"
150	"- el río aconcagua tiene una crisis hídrica histórica en el peor de los escenarios. 
- hay una gestión que no se está realizando, los agricultores son los culpables, el estado quien regula la situación del agua"
151	- listas de espera                           - mejorar pensiones de invalidez                                                      - enfermedades no están en el auge                                        - atención integral para el cáncer (psicológica, kinesiólogos) 
152	"-especialistas en hospitales
-camas en hospitales
-que las horas sean más rápidas
-mejor atención en adultos mayores
-que hayan más recursos en las corporaciones"
153	"deberia ser un aporte al socio de la afp.
las personas lo deben aumentar.
los intereses de sus ingresos.
debe unirse mas intitucion para ---- de las afp."
154	"-""mas de dos años esperando hora medica de operación""
-""cinco años esperando para operarse varices""
-""- más de 3 años esperando""
-""la posta atiende solo a 20 pacientes y al resto no lo atendieron""
-tanto que se demora en atender los medicos
-eso molesta y duele
-lega a las 7 de la mañana y est"
155	"-se refieren a que la educación debe mejorar para todos los sectores económicos, debe ser de calidad.
-porque hoy la educación es un derecho, pero no garantiza calidad."
156	según las experiencias los participantes que hacen uso del sistema de salud público, existe un consenso en cuanto a la agilidad y buen servicio de la atención primaria, sin embargo, no es posible decir lo mismo respecto de aquellas enfermedades de mayor complejidad, ya que el sistema no logra cubrir
157	es primordial mejorar el sistema de salud, ya que las personas muchas veces ven pasar el tiempo sin horas ni atenciones, llegando incluso a morir esperando
158	"financiera. no hay profesor que enseñe realidad aprender haciendo habilidades blandas.
·las proximas generaciones van a obtener los beneficios, con educación todo mejora.
·los profesores no son valorados, deficit.
·trascendental para superar el subdesarrollo"
159	"- mejores sueldos, siendo el mínimo de 500 mil pesos en relación al costo de la vida.
- fiscalización del lucro y actuar del sistema."
160	se debe tener claro que es un problema que abarca a todos los trabajadores siendo un tema transversal, ya que no todos han tenido las mismas posibilidades.
161	la region de aysén se encuentra encuentra en menos mal respecto de conectividad terrestre y digital.
162	"Por el tiempo de atención de especialistas o procedimientos.
No hay medicamentos suficientes
Mejorar el trato de atención. "
163	"-en general los adultos mayores tienen pensiones bajas, que no les permite cubrir las necesidades basicas
-hay diferencias entre las pensiones de los civiles y las ff.aa."
164	el estado y los privados deben generar más fuentes laborales, sueldos dignos y más protección para los trabajadores.
165	que sean más equitativas, sueldos regionalizados, porque en esta región la vida es más cara. cada región tiene necesidades distintas. 
166	hay poca educación alimenticia, agilizar la atención en el sector público, mejorar condiciones laborales de profesionales de la salud para que mejore su servicio.
167	"- entrega oportuna y directa a los pacientes o enfermos
- mayo mano de especialistas
- mas acceso a examenes y medicamentos"
168	que los políticos de una vez por todas hagan caso a las remandas y no sé.
169	- se necesita una atención digna, acceso a remedios, que haya atención uy horas medicas, que seamos atendidos y no haya discriminación
170	se debe volver a que la autoridad sepa que decisiones tomar. que haya orden en carabineros y el gobierno del interior tome medidas de seguridad publica.
171	"las listas de espera.
mala atención profesionales.
tiempos de espera largos.
falta insumos.
falta compromiso.
desigualdad pública/privada."
172	la mayorías de las personas no contamos con recursos económicos para costear carreras universitarias y profesionales para nuestros hijos, lo que conlleva a que simplemente no puedan acceder a educación de calidad
173	se necesita educación de calidad y mejoramiento del sistema de admisión. al igual mejor formación pedagógica.
174	"mejora de la administracion de los recursos economicos ya que estan pero no se fiscaliza como son usados.
falta de control en los trabajadores del sistema de slaud(auxiliares y cporresponsales)"
175	"que saque lo mejor de c/u para hacer q' la nación crezca
entregue valores y principios sin tener que endeudarse y que sea de calidad sin fines de lucro.
igualitaria y de calidad para todos y todas "
176	"1. falta de convivencia política.-
2. falta de empatía de la sociedad.
3. falta de conciencia de las autoridades."
177	"toda persona pensionada sin distinción debe partir desde el sueldo mínimo.
bajar la edad de las expectativas de vida al promedio real de vida de los chilenos.
darles la oportunidad a las personas que comenzaron cotizando en el sistema antiguo inp poder volver para así sacar una pensión más digna."
178	"una salud accesible para todos, siempre se paga un extra por una prestación básica 
salud en general cara"
179	que haya acuerdo en los políticos que están a cargo de legislar y hacer las leyes que favorezcan a todos los chilenos. cuidar los intereses del país, y que el bien que  contribuye al bienestar de todos los chilenos, este por sobre los intereses personales de quienes les corresponde dirigir el país.
180	"modificar sistema para los abuelitos, hay que tener más opciones.
incertidumbre entre afp y aseguradoras. se considera un abuso.
deberían ser opcional si quiero sacar mi plata."
181	"-atención no es buena, cercana o las indicaciones no son ajustadas.
-horas medicas alta demora en atención
-no hay especialistas; subcontratación prof.-"
182	"- que sea igualitaria para todos las oportunidades
- más especialistas y horas médicas mejor atención ."
183	"- porque podemos tener diferentes posiciones políticas, pero todos somos chilenos
- conocer al otro y sus verdaderas necesidades  "
184	"necesitamos mas empatia y solidaridad entre nosotros mismos.
los partidos politicos estan divididos donde hay que buscar un bien comun.
"
185	con esos valores se llegaría a la igualdad, es necesario que cada cuidadano del país tenga más conciencia y los practique con mayor habitualidad.
186	"-que en la comuna, en los hospitales existan más especialistas, y no tener que viajar fuera de ella para ser atendido.
-que se mejoren los tiempos de espera para ser atendido por medico."
187	se requiere de que las personas tengan mejores oportunidades de acceso a educación de calidad así también 
188	"diferencias entre colegios públicos y particulares
falta de igualdad para todos en el acceso a una educación de calidad
no debiese existir la psu"
189	-mejor atención, vocación de los profesionales, especialistas, mejor protocolos de salud, abastecimientos de hospitales, cesfam, etc.
190	subir pensiones para todas las personas y que no se  diferencie tanto entre un sueldo real a una jubilación
191	"mejorar la salud en general
inyección de recursos economicos tanto para infraestructura hospitalaria, especialistas (fomentar la formación de estos). incorporar el abordaje de nuevas patologías auge, se necesita"
192	"esperar en atención 
mayor dotación de especialistas y profesionales.
mejorar infraestructura 
mejorar la gestión en salud (atención, administración)"
193	"- insumos pacientes que no falten los medicamentos
- agilizar las listas de espera
- falta de criterios de parte de los medicos
- evaluar el profesionalismo de medico
- implementar programas de salud con empresas privadas
- implementos seguros
- mejorar los sist. de evaluacion para profesional"
194	cuidar todo lo que ya tenemos como país y poder fortalecer lo que este más bajo y no tener que partir de cero
195	"- falta de interés de crear políticas públicas.
- se trabaja mucho y luego se paga poco.
- sin embargo , las familias no se preparan para ese momento, qué hacemos ?"
196	"- mucha juventud no tiene trabajo
- se ha reducido mucho
- la mano de obra es cara y al campesino no le alcanza"
197	plan regulador que hay en puerto varas  no regula correctamente el crecimiento urbano. permitiendo la construcción de grandes edificios sin buen acceso y parcelando las zonas rurales  
198	"educación gratuita y de calidad.
que ricos y pobre estudien en la misma escuela.
equidad y integración."
199	se esperan que el gobierno resguarda de  mejor manera los empleos, mas viviendas la infraestructura publica.
200	se requiere que el gobierno garantice esta equidad. la equidad social es el pilar fundamental para hacer frente al resto de los requerimientos.
201	"-que todas las personas tengan acceso a derechos básicos y fundamentales.
-sueldos dignos.
-igualdad de oportunidades.
-registro social de hogares."
202	"- el sistema de atención es carente
- el tiempo de espera en los consultorios es mucho
- la atención debe ser mas prioritario, segregado en atención primaria y de urgencia"
203	lamentablemente las pensiones son indignas y quienes han trabajado de toda la vida no pueden disfrutar su 3° edad.
204	"-deberes y derechos/educarse
-falta de diálogo con la autoridad política
-medios de comunicación deben unirse y comunicar la realidad"
205	se requiere un aumento significativo de las pensiones ya que lo que ganamos no es suficiente
206	"acceso a la salud, se garantiza pero no la calidad, largas esperas falta de especialistas, donde el sector público no es llamativo como empleador.
falta de flexibilidad para personas mayores.
carencia de recursos económicos "
207	"- Cuidado y educación de calidad
- Salud, pensiones
- ejemplo: con música de fondo, más ed. física y ed. cívica, y ética (filosofía) reforzar cultura, deporte, arte, música. ejemplo: orquestas juveniles."
208	"demasiada diferencia entre prestación pública y privada.
el sistema público no es de calidad, no hay insumos. es un privilegio para los que pueden pagarla."
209	con este cambio menos oportunidades a gente nueva nos damos cuenta que las leyes están dispares
210	"- mayor dotación de especialistas.
- tecnología para desarrollar procedimientos médicos.
- salas de estimulación temprana.
- mayor frecuencia de atención medica en domicilios."
211	"costos en comparación con otros países mayormente desarrollados
costo y calidad de salud
calidad de vida"
212	"costos en comparación con otros países mayormente desarrollados.
costo y calidad de salud.
calidad de vida."
213	crear una forma de -------- a cual que seamos capaces de  escuchar y ponernos en el lugar del otro.
214	"-no se puede esperar tanto, es mucho
-poca preferencia a chilenos
-mucha lista de espera
-cesfam lleno
-necesitamos más centros de atención"
215	"no hay profesionales comprometidos y que sepan hacer su trabajo. no hay una atención integral./falta de buen trato.
escasas horas para especialistas de longaví. esperas largas en la mañana..."
216	"más especialistas, hospitales, empatia entre los trabajadores y paciente.
falta medicamento y atención , hora médica."
217	"-no lucrar con un derecho escencial creando un fondo común 
acabar con listas de espera
acceso a lengua de señas en los consultorios-cesfam"
218	que sea para todos, porque se castiga la clase media, sin becas, sin ayudas. cambio en registro social de hogares que al empleado público aparece con porcentaje de mayores ingresos.
219	mejorar la salud y la calidad de especialistas, que las regiones más extremas puedan contar con dotación de especialistas (salud de calidad)
220	"- genera el desarrollo económico, favoreciendo disminución de las brechas y oportunidades
- potenciar las carreras técnicas
- calidad de la educación"
221	"necesidad de las policías de contar con los elementos y garantías necesarias para trabajar.
la ciudadanía necesita vivir tranquila."
222	ser tratados todos por igual a nivel mundial; dejando de lado el dinero y el estatus social (tener mejor atención).
223	señalan que en esta región es muy caro vivir, todo cuesta mucho dinero por lo tanto eso dificulta la vida. 
224	en la comuna, los servicios presentes deben mejorar en cuanto a calidad de profesionales, calidad del servicio que brindan y en la empatía que se genera con el usuario.
225	"partir desde la base de la calidad de enseñar a profesores  a actuar en sus propósitos profesionales con vocación
-un profesional que entre con vocación cambiará el sistema"
226	que se decrete estado de excepción constitucional dejando en manos de las ffaa y de orden hasta que todo termine.
227	luego de un divorcio se tuvo que insertar al mundo laboral, acceder a ingresos económicos que permitan alcanzar bienes y servicios
228	si queremos como país avanzar hacia un trato mas justo para todos, rompiendo con la desigualdad social, es importante que la columna vertebral sea construida desde la generación actual, haciendonos cargo de la sociedad que queremos a futuro.
229	las carreteras, los servicios básicos, etc. son un ejemplo de como nos han sometido a un capitalismo con el respaldo del gobierno.
230	tenemos una educación precaria falta de compromiso de la familia, los valores ya parecieran no importar, faltas de respeto de los alumnos, profesores ni respaldo en nada
231	problemas de salid no son resueltos - se debe cumplir con plazos necesarios según la enfermedad 
232	"la educación superior  está sobrevalorada por lo estudiantes que eligen carreras por el ingreso proyectado y no por vocación.
mejorar calidad y contenidos."
233	"De calidad con igualdad y dignidad.
 emocional , integral , sexual. mejores regionalización 
Regular gratuidad
cívica"
